Date,Open,High,Low,Close,Adj Close,Volume
2019-06-10,119.91000366210938,121.05000305175781,119.72000122070312,119.95999908447266,119.44308471679688,243500
2019-06-11,120.83999633789062,121.22000122070312,119.68000030517578,120.69000244140625,120.16993713378906,168600
2019-06-12,120.73999786376953,122.5999984741211,120.12999725341797,122.19000244140625,121.66348266601562,190700
2019-06-13,122.25,123.44000244140625,121.41000366210938,121.9000015258789,121.37472534179688,258800
2019-06-14,122.01000213623047,122.79000091552734,120.62000274658203,120.68000030517578,120.15998077392578,170000
2019-06-17,120.75,121.95999908447266,119.76000213623047,120.66000366210938,120.14006805419922,245600
2019-06-18,121.27999877929688,122.33000183105469,120.73999786376953,121.3499984741211,120.82709503173828,191300
2019-06-19,121.58000183105469,122.05999755859375,120.95999908447266,121.83000183105469,121.3050308227539,200400
2019-06-20,122.94999694824219,123.18000030517578,121.62000274658203,122.22000122070312,121.69334411621094,158700
2019-06-21,121.56999969482422,122.38999938964844,120.86000061035156,122.04000091552734,121.51412200927734,382700
2019-06-24,121.75,123.54000091552734,121.44999694824219,122.19000244140625,121.66348266601562,178300
2019-06-25,122.30999755859375,123.45999908447266,121.66999816894531,122.58999633789062,122.06175231933594,256800
2019-06-26,122.83000183105469,123.06999969482422,120.11000061035156,121.72000122070312,121.19549560546875,263900
2019-06-27,122.5199966430664,123.81999969482422,122.05999755859375,123.58000183105469,123.04747772216797,248400
2019-06-28,123.55000305175781,125.86000061035156,123.55000305175781,125.1500015258789,124.61072540283203,1071700
2019-07-01,126.0,127.05999755859375,123.70999908447266,124.7300033569336,124.19253540039062,261700
2019-07-02,124.61000061035156,124.61000061035156,122.19999694824219,123.58000183105469,123.04747772216797,258600
2019-07-03,124.02999877929688,124.22000122070312,122.81999969482422,123.91999816894531,123.38601684570312,239100
2019-07-05,123.48999786376953,124.06999969482422,122.1500015258789,124.0,123.46566772460938,174700
2019-07-08,123.48999786376953,123.51000213623047,122.06999969482422,122.88999938964844,122.36045837402344,193000
2019-07-09,121.97000122070312,124.16000366210938,121.81999969482422,124.05999755859375,123.5254135131836,198300
2019-07-10,124.55999755859375,125.44999694824219,123.4800033569336,123.83999633789062,123.30636596679688,221700
2019-07-11,124.37999725341797,124.62999725341797,123.26000213623047,124.48999786376953,123.95355987548828,143000
2019-07-12,124.58999633789062,125.30000305175781,123.31999969482422,124.43000030517578,123.89382934570312,188800
2019-07-15,124.44000244140625,124.93000030517578,123.41000366210938,124.37999725341797,123.84403991699219,258700
2019-07-16,124.4800033569336,124.66999816894531,123.16000366210938,123.22000122070312,122.68903350830078,151800
2019-07-17,123.22000122070312,123.27999877929688,121.69000244140625,121.91000366210938,121.38468170166016,249100
2019-07-18,121.80000305175781,122.5999984741211,120.44000244140625,122.06999969482422,121.54399871826172,359500
2019-07-19,122.27999877929688,122.27999877929688,120.81999969482422,121.41000366210938,120.8868408203125,292100
2019-07-22,121.7300033569336,123.22000122070312,121.7300033569336,123.01000213623047,122.47994232177734,330300
2019-07-23,123.0999984741211,124.23999786376953,122.69999694824219,123.2699966430664,122.88866424560547,238200
2019-07-24,122.2300033569336,123.0199966430664,120.12000274658203,122.2699966430664,121.89176940917969,431500
2019-07-25,130.3699951171875,135.47000122070312,127.83999633789062,132.86000061035156,132.44900512695312,1148600
2019-07-26,134.3000030517578,139.22999572753906,132.36000061035156,136.91000366210938,136.48648071289062,657700
2019-07-29,137.60000610351562,138.6699981689453,136.0800018310547,138.3699951171875,137.9419403076172,512600
2019-07-30,137.91000366210938,138.22000122070312,136.25999450683594,137.47999572753906,137.05470275878906,559500
2019-07-31,137.0500030517578,138.80999755859375,135.72999572753906,137.27000427246094,136.84536743164062,472200
2019-08-01,137.58999633789062,139.58999633789062,136.5800018310547,137.27999877929688,136.85533142089844,332600
2019-08-02,136.72000122070312,136.8000030517578,135.1699981689453,135.55999755859375,135.14064025878906,322900
2019-08-05,133.6300048828125,135.77999877929688,132.6999969482422,133.63999938964844,133.22659301757812,547400
2019-08-06,134.61000061035156,138.47999572753906,134.4499969482422,138.4199981689453,137.99180603027344,353400
2019-08-07,137.1999969482422,140.16000366210938,136.1199951171875,139.64999389648438,139.21800231933594,321600
2019-08-08,140.5800018310547,143.5,140.27999877929688,143.08999633789062,142.64735412597656,423900
2019-08-09,142.6699981689453,144.82000732421875,142.6699981689453,143.9199981689453,143.47479248046875,320900
2019-08-12,142.91000366210938,144.19000244140625,141.75999450683594,142.2899932861328,141.84982299804688,165200
2019-08-13,143.02999877929688,145.13999938964844,141.97999572753906,145.07000732421875,144.62123107910156,287500
2019-08-14,143.47999572753906,144.2899932861328,142.02000427246094,142.35000610351562,141.90965270996094,268200
2019-08-15,143.0,144.02000427246094,142.10000610351562,142.8800048828125,142.43801879882812,143900
2019-08-16,143.7899932861328,145.1699981689453,143.08999633789062,145.05999755859375,144.61126708984375,161100
2019-08-19,146.3699951171875,146.3699951171875,145.08999633789062,145.77999877929688,145.32904052734375,171600
2019-08-20,145.75999450683594,146.2899932861328,145.00999450683594,145.1199951171875,144.6710662841797,164500
2019-08-21,145.64999389648438,147.14999389648438,145.02000427246094,145.92999267578125,145.47857666015625,216000
2019-08-22,146.72999572753906,147.19000244140625,144.97999572753906,145.86000061035156,145.40879821777344,188800
2019-08-23,145.75999450683594,146.89999389648438,143.02999877929688,143.3300018310547,142.88661193847656,203000
2019-08-26,144.52000427246094,145.5,143.5,145.35000610351562,144.90037536621094,175100
2019-08-27,146.33999633789062,146.9600067138672,145.19000244140625,146.27000427246094,145.81752014160156,212700
2019-08-28,145.75999450683594,146.6999969482422,145.1999969482422,146.19000244140625,145.73777770996094,146600
2019-08-29,146.75,147.69000244140625,146.49000549316406,147.13999938964844,146.684814453125,153200
2019-08-30,147.3000030517578,147.3699951171875,144.9199981689453,145.4600067138672,145.01002502441406,259400
2019-09-03,144.5,145.52000427246094,143.1699981689453,144.8699951171875,144.42184448242188,291800
2019-09-04,145.05999755859375,148.16000366210938,144.9600067138672,147.92999267578125,147.47238159179688,339200
2019-09-05,149.30999755859375,150.3800048828125,148.02999877929688,150.02000427246094,149.55592346191406,226400
2019-09-06,150.24000549316406,152.10000610351562,149.4600067138672,149.6999969482422,149.23690795898438,252400
2019-09-09,149.8699951171875,150.1199951171875,144.77000427246094,145.4499969482422,145.00006103515625,504500
2019-09-10,144.80999755859375,145.49000549316406,138.88999938964844,141.05999755859375,140.62364196777344,600900
2019-09-11,141.6199951171875,145.67999267578125,141.42999267578125,144.72000122070312,144.27230834960938,436600
2019-09-12,145.49000549316406,146.58999633789062,144.3300018310547,146.08999633789062,145.63807678222656,207000
2019-09-13,145.42999267578125,147.0399932861328,143.8300018310547,144.1999969482422,143.75392150878906,325900
2019-09-16,143.42999267578125,144.0500030517578,141.6699981689453,142.1300048828125,141.69033813476562,389900
2019-09-17,142.2100067138672,144.27999877929688,141.75999450683594,143.3000030517578,142.85670471191406,317600
2019-09-18,143.35000610351562,143.75999450683594,139.8300018310547,141.32000732421875,140.88284301757812,290200
2019-09-19,141.89999389648438,143.6300048828125,141.42999267578125,143.3300018310547,142.88661193847656,270700
