Date,Open,High,Low,Close,Adj Close,Volume
2019-06-10,323.0,323.7300109863281,310.2099914550781,311.30999755859375,306.608642578125,1088700
2019-06-11,311.30999755859375,312.80999755859375,298.2300109863281,300.7300109863281,296.18841552734375,1603500
2019-06-12,301.20001220703125,305.2799987792969,299.9599914550781,304.8500061035156,300.2461853027344,771500
2019-06-13,306.2200012207031,308.25,300.44000244140625,307.6300048828125,302.9842224121094,1327600
2019-06-14,308.45001220703125,310.4800109863281,306.5899963378906,309.42999267578125,304.75701904296875,768200
2019-06-17,310.8500061035156,310.8500061035156,307.0899963378906,309.4700012207031,304.7964172363281,572500
2019-06-18,310.6199951171875,315.4599914550781,309.4800109863281,313.19000244140625,308.4602355957031,679000
2019-06-19,313.239990234375,315.5899963378906,312.05999755859375,315.19000244140625,310.4300537109375,698700
2019-06-20,317.739990234375,324.3500061035156,317.739990234375,323.82000732421875,318.9296875,1195700
2019-06-21,324.8900146484375,324.92999267578125,320.7300109863281,322.1600036621094,317.2947998046875,1096600
2019-06-24,322.82000732421875,324.5199890136719,321.3599853515625,321.4800109863281,316.62506103515625,359200
2019-06-25,322.2099914550781,323.44000244140625,319.5,321.1499938964844,316.3000183105469,559200
2019-06-26,321.260009765625,322.739990234375,318.05999755859375,318.70001220703125,313.8870544433594,590500
2019-06-27,319.1300048828125,319.70001220703125,316.260009765625,318.2799987792969,313.4733581542969,640900
2019-06-28,318.2300109863281,323.92999267578125,316.45001220703125,323.1099853515625,318.2304382324219,842800
2019-07-01,325.0,325.0,317.8800048828125,318.5400085449219,313.7294616699219,745600
2019-07-02,319.8299865722656,323.989990234375,319.2099914550781,323.69000244140625,318.8016662597656,547500
2019-07-03,325.0,325.5799865722656,322.7200012207031,325.25,320.338134765625,352000
2019-07-05,324.5299987792969,325.260009765625,320.80999755859375,325.20001220703125,320.28887939453125,325600
2019-07-08,324.0299987792969,325.8699951171875,322.5,323.989990234375,319.09710693359375,377100
2019-07-09,323.260009765625,325.95001220703125,321.1000061035156,325.80999755859375,320.8896484375,481600
2019-07-10,326.1600036621094,328.79998779296875,323.8500061035156,324.05999755859375,319.16607666015625,451800
2019-07-11,324.57000732421875,328.260009765625,324.0199890136719,324.92999267578125,320.02294921875,718800
2019-07-12,326.2799987792969,329.6099853515625,323.260009765625,329.5299987792969,324.553466796875,654700
2019-07-15,330.1000061035156,330.260009765625,324.20001220703125,325.2699890136719,320.3578186035156,624600
2019-07-16,325.5899963378906,326.760009765625,323.0,323.8299865722656,318.9395446777344,625400
2019-07-17,323.1600036621094,324.1400146484375,319.5899963378906,322.0,317.13720703125,567700
2019-07-18,322.0,322.0299987792969,319.07000732421875,321.1400146484375,316.29022216796875,637900
2019-07-19,323.4599914550781,324.9200134277344,321.1700134277344,322.1600036621094,317.2947998046875,881400
2019-07-22,321.010009765625,324.0400085449219,320.3500061035156,323.20001220703125,318.3190612792969,604600
2019-07-23,326.29998779296875,326.4800109863281,318.8999938964844,323.989990234375,319.09710693359375,1587800
2019-07-24,323.8800048828125,344.7799987792969,321.6099853515625,342.9700012207031,337.7904968261719,1895300
2019-07-25,345.9700012207031,358.9599914550781,344.30999755859375,354.7200012207031,349.3630676269531,1888600
2019-07-26,353.6099853515625,354.4700012207031,349.5,352.5199890136719,347.1962585449219,896500
2019-07-29,352.5400085449219,356.010009765625,350.8999938964844,355.42999267578125,350.0623474121094,698700
2019-07-30,354.25,355.30999755859375,349.2699890136719,352.9100036621094,347.58038330078125,603300
2019-07-31,351.0400085449219,353.989990234375,344.4599914550781,345.57000732421875,340.35125732421875,1105100
2019-08-01,345.2699890136719,350.3399963378906,343.92999267578125,345.0199890136719,339.8095703125,660500
2019-08-02,345.0,346.9800109863281,338.5199890136719,341.1600036621094,336.0078430175781,621700
2019-08-05,337.7699890136719,346.7900085449219,334.9599914550781,342.80999755859375,337.6329345703125,968500
2019-08-06,349.989990234375,355.42999267578125,348.19000244140625,354.25,348.900146484375,1007200
2019-08-07,351.94000244140625,363.4100036621094,350.3500061035156,361.4200134277344,355.9619140625,1486300
2019-08-08,364.54998779296875,372.4100036621094,363.4200134277344,368.9599914550781,363.38800048828125,1434700
2019-08-09,368.79998779296875,374.67999267578125,364.6400146484375,370.5400085449219,364.94415283203125,896900
2019-08-12,368.1499938964844,373.989990234375,367.3500061035156,373.2099914550781,367.5738220214844,868800
2019-08-13,375.55999755859375,377.3399963378906,368.9100036621094,370.6600036621094,365.06231689453125,1002400
2019-08-14,365.55999755859375,367.5199890136719,360.3500061035156,361.4200134277344,355.9619140625,871900
2019-08-15,363.0,366.0400085449219,359.6000061035156,365.2200012207031,359.7044982910156,705900
2019-08-16,367.82000732421875,369.2900085449219,364.7900085449219,367.9100036621094,362.3538513183594,841600
2019-08-19,371.79998779296875,372.5299987792969,369.70001220703125,370.0799865722656,364.4910583496094,548400
2019-08-20,370.1300048828125,372.8800048828125,368.2900085449219,369.010009765625,363.437255859375,517200
2019-08-21,372.1300048828125,373.19000244140625,366.5,369.1400146484375,363.5653076171875,655000
2019-08-22,369.5,373.4800109863281,366.5799865722656,372.0199890136719,366.40179443359375,640300
2019-08-23,369.489990234375,373.1400146484375,359.7799987792969,361.5,356.0406799316406,667800
2019-08-26,364.1199951171875,366.82000732421875,361.5,366.6499938964844,361.1128845214844,446000
2019-08-27,367.5299987792969,367.5299987792969,361.6000061035156,364.17999267578125,358.6802062988281,407200
2019-08-28,363.3399963378906,368.3999938964844,361.1600036621094,363.8999938964844,358.4044189453125,571300
2019-08-29,368.010009765625,368.80999755859375,364.25,367.92999267578125,362.3735656738281,625800
2019-08-30,370.5899963378906,371.3299865722656,367.2200012207031,367.8699951171875,362.314453125,576300
2019-09-03,364.6499938964844,367.19000244140625,362.5,366.2300109863281,360.69921875,660200
2019-09-04,368.6400146484375,372.1300048828125,366.8599853515625,372.05999755859375,366.441162109375,625600
2019-09-05,375.0,375.0,366.9599914550781,368.42999267578125,362.8659973144531,698400
2019-09-06,369.5899963378906,371.5799865722656,366.94000244140625,367.7699890136719,363.51837158203125,536400
2019-09-09,367.57000732421875,368.04998779296875,354.989990234375,355.8299865722656,351.7164001464844,1272600
2019-09-10,352.6000061035156,355.17999267578125,341.239990234375,355.0899963378906,350.9849548339844,1534900
2019-09-11,355.1700134277344,359.6600036621094,353.9200134277344,358.8500061035156,354.7015075683594,1150000
2019-09-12,361.7200012207031,365.760009765625,357.760009765625,365.2200012207031,360.99786376953125,776500
2019-09-13,366.70001220703125,367.5,363.2099914550781,363.67999267578125,359.4756774902344,704400
2019-09-16,368.5,372.79998779296875,365.010009765625,371.42999267578125,367.13604736328125,988600
2019-09-17,371.44000244140625,376.989990234375,367.8299865722656,374.4700012207031,370.14093017578125,1151800
2019-09-18,376.3999938964844,378.69000244140625,371.0400085449219,377.4200134277344,373.0568542480469,1205200
2019-09-19,376.8800048828125,380.4599914550781,374.5299987792969,375.5799865722656,371.23809814453125,1029400
2019-09-20,376.57000732421875,377.67999267578125,368.1099853515625,368.17999267578125,363.92364501953125,3489400
2019-09-23,368.1700134277344,372.2799987792969,365.79998779296875,369.1300048828125,364.8626708984375,979000
2019-09-24,371.4700012207031,374.5199890136719,366.54998779296875,369.510009765625,365.23828125,1120700
2019-09-25,371.0299987792969,375.3699951171875,369.1300048828125,375.010009765625,370.6746826171875,1349500
2019-09-26,376.2099914550781,383.8900146484375,373.67999267578125,382.1499938964844,377.7321472167969,1255000
2019-09-27,381.1700134277344,382.8999938964844,368.80999755859375,371.17999267578125,366.88897705078125,1117300
2019-09-30,372.3800048828125,378.5799865722656,372.3800048828125,374.7900085449219,370.45721435546875,877100
2019-10-01,375.9700012207031,377.0899963378906,367.6600036621094,367.7900085449219,363.53814697265625,1045700
2019-10-02,366.3500061035156,368.54998779296875,359.2300109863281,362.5,358.309326171875,1451000
2019-10-03,362.3399963378906,364.989990234375,359.25,364.3299865722656,360.1181640625,835600
2019-10-04,365.2900085449219,370.1300048828125,363.5799865722656,368.9800109863281,364.7144470214844,953800
2019-10-07,368.0199890136719,371.1000061035156,366.9599914550781,367.9200134277344,363.6666564941406,592000
2019-10-08,366.0,372.1700134277344,363.6199951171875,368.44000244140625,364.1806335449219,736100
2019-10-09,370.1700134277344,371.3299865722656,366.0199890136719,367.6300048828125,363.3800048828125,1268900
2019-10-10,367.5299987792969,371.0299987792969,366.5400085449219,368.75,364.487060546875,967900
2019-10-11,372.45001220703125,372.45001220703125,358.7300109863281,362.2200012207031,358.03253173828125,1535100
2019-10-14,363.04998779296875,369.29998779296875,362.67999267578125,366.4200134277344,362.1839904785156,658000
2019-10-15,366.30999755859375,368.4800109863281,361.1300048828125,361.94000244140625,357.7557678222656,744800
2019-10-16,361.94000244140625,365.1600036621094,361.30999755859375,364.69000244140625,360.4739685058594,553600
2019-10-17,364.5299987792969,366.010009765625,355.8900146484375,356.2699890136719,352.15130615234375,1081400
2019-10-18,357.3500061035156,357.510009765625,347.739990234375,349.6199951171875,345.5782165527344,2198400
2019-10-21,352.6099853515625,354.1400146484375,349.82000732421875,350.3900146484375,346.3393249511719,1102700
2019-10-22,347.5,355.1600036621094,347.0,352.3800048828125,348.3062744140625,1154800
2019-10-23,352.0,353.7699890136719,348.3399963378906,353.20001220703125,349.1168518066406,1117000
2019-10-24,348.0,360.2300109863281,340.20001220703125,356.9100036621094,352.783935546875,1312100
2019-10-25,357.5799865722656,358.2099914550781,344.8900146484375,345.0,341.0116271972656,1563500
2019-10-28,345.739990234375,348.44000244140625,344.2799987792969,346.5299987792969,342.5238952636719,1348400
2019-10-29,346.45001220703125,350.1600036621094,345.8500061035156,347.1700134277344,343.15655517578125,737000
2019-10-30,348.04998779296875,354.7300109863281,347.25,354.0799865722656,349.9866638183594,840200
2019-10-31,353.3800048828125,355.80999755859375,350.3500061035156,352.4800109863281,348.4051513671875,829200
2019-11-01,353.3500061035156,355.9599914550781,351.1300048828125,352.1300048828125,348.0592041015625,1167500
2019-11-04,353.6499938964844,353.6499938964844,338.4599914550781,340.6700134277344,336.7317199707031,1984800
2019-11-05,340.0,343.1700134277344,335.94000244140625,337.8500061035156,333.94427490234375,2410700
2019-11-06,339.17999267578125,344.3699951171875,338.1000061035156,344.0199890136719,340.0429382324219,1168000
2019-11-07,344.010009765625,345.32000732421875,341.1600036621094,343.42999267578125,339.4597473144531,1154900
2019-11-08,342.92999267578125,350.69000244140625,342.92999267578125,350.1099853515625,346.06256103515625,807800
2019-11-11,348.6000061035156,351.7300109863281,347.4200134277344,350.0,345.9538269042969,547100
2019-11-12,349.42999267578125,352.67999267578125,349.3900146484375,351.69000244140625,347.6242980957031,514800
2019-11-13,352.4599914550781,355.75,350.5199890136719,353.7200012207031,349.63079833984375,517200
2019-11-14,353.1600036621094,357.6199951171875,353.1600036621094,355.69000244140625,351.5780334472656,610000
2019-11-15,358.4599914550781,359.8299865722656,356.2099914550781,356.6600036621094,352.5368347167969,871300
2019-11-18,355.8800048828125,358.17999267578125,355.4599914550781,356.70001220703125,352.5763854980469,891400
2019-11-19,357.7300109863281,358.55999755859375,352.6099853515625,353.5400085449219,349.452880859375,790900
2019-11-20,353.5299987792969,356.9800109863281,352.42999267578125,353.0,348.91912841796875,777600
2019-11-21,352.7699890136719,354.0299987792969,348.1000061035156,348.2200012207031,344.19439697265625,785100
2019-11-22,349.17999267578125,350.0400085449219,346.7900085449219,349.1600036621094,345.12353515625,583300
2019-11-25,350.3299865722656,350.9700012207031,348.8599853515625,349.75,345.70672607421875,988300
2019-11-26,350.2799987792969,356.6199951171875,349.1700134277344,353.8500061035156,349.7593078613281,1294500
2019-11-27,352.3299865722656,355.1499938964844,350.6400146484375,352.8800048828125,348.8005065917969,619700
2019-11-29,351.0,351.9200134277344,348.9100036621094,351.7699890136719,349.00885009765625,311200
2019-12-02,351.9700012207031,352.989990234375,341.6099853515625,341.7300109863281,339.0476989746094,886600
2019-12-03,340.17999267578125,344.1199951171875,338.7300109863281,343.1499938964844,340.45654296875,1320500
2019-12-04,344.75,347.8699951171875,343.1499938964844,343.2099914550781,340.51605224609375,708900
2019-12-05,344.6700134277344,345.1099853515625,341.9100036621094,344.4100036621094,341.7066345214844,803900
2019-12-06,346.1000061035156,348.1499938964844,344.32000732421875,344.760009765625,342.0539245605469,931400
2019-12-09,344.760009765625,345.6099853515625,338.6300048828125,343.04998779296875,340.3572998046875,1137200
2019-12-10,343.05999755859375,347.010009765625,343.05999755859375,344.4800109863281,341.776123046875,1041100
2019-12-11,345.7300109863281,348.8699951171875,344.6099853515625,348.7099914550781,345.9728698730469,574500
2019-12-12,348.7699890136719,349.8399963378906,344.010009765625,345.8999938964844,343.1849365234375,737600
2019-12-13,344.55999755859375,347.5,342.7900085449219,344.6499938964844,341.94476318359375,865800
2019-12-16,344.3299865722656,345.69000244140625,342.8399963378906,344.69000244140625,341.9844665527344,972900
2019-12-17,345.3999938964844,347.2699890136719,343.5299987792969,345.8399963378906,343.12542724609375,753700
2019-12-18,345.55999755859375,346.55999755859375,338.3999938964844,338.70001220703125,336.0414733886719,1145400
2019-12-19,338.7900085449219,343.489990234375,338.010009765625,342.2099914550781,339.5238952636719,1418600
2019-12-20,343.94000244140625,346.2200012207031,340.42999267578125,345.9100036621094,343.19488525390625,1534600
2019-12-23,348.5400085449219,350.8999938964844,346.5,348.1199951171875,345.38751220703125,652300
2019-12-24,348.82000732421875,349.0799865722656,345.82000732421875,347.0799865722656,344.3556823730469,229400
2019-12-26,347.6300048828125,348.9800109863281,346.0199890136719,347.9599914550781,345.228759765625,432700
2019-12-27,348.5,349.0,345.4200134277344,346.44000244140625,343.720703125,356900
2019-12-30,347.70001220703125,350.75,346.8900146484375,349.07000732421875,346.330078125,575500
2019-12-31,348.2699890136719,348.9800109863281,342.7300109863281,343.9700012207031,341.27008056640625,907800
2020-01-02,344.44000244140625,355.70001220703125,343.6199951171875,355.70001220703125,352.90802001953125,941900
2020-01-03,368.1499938964844,375.82000732421875,366.3699951171875,375.010009765625,372.06646728515625,2600300
2020-01-06,379.95001220703125,382.260009765625,372.5799865722656,375.8299865722656,372.8800354003906,2130000
2020-01-07,373.6199951171875,376.7099914550781,371.0899963378906,374.9700012207031,372.02679443359375,863600
2020-01-08,376.20001220703125,379.2699890136719,367.1000061035156,370.2900085449219,367.383544921875,1312400
2020-01-09,370.55999755859375,373.5,369.1700134277344,372.3599853515625,369.437255859375,741500
2020-01-10,372.3699951171875,375.0,369.760009765625,374.3900146484375,371.4513244628906,1178200
2020-01-13,375.7300109863281,377.760009765625,374.80999755859375,376.8299865722656,373.8721618652344,667400
2020-01-14,375.79998779296875,376.17999267578125,373.0799865722656,374.6700134277344,371.7291259765625,740600
2020-01-15,374.67999267578125,381.7799987792969,374.67999267578125,380.260009765625,377.2752380371094,650500
2020-01-16,381.6099853515625,384.6099853515625,379.57000732421875,383.7799987792969,380.7676086425781,839100
2020-01-17,384.67999267578125,384.67999267578125,378.2900085449219,379.9700012207031,376.987548828125,1237700
2020-01-21,379.3800048828125,381.19000244140625,373.9599914550781,378.1300048828125,375.1619873046875,1420900
2020-01-22,378.5,380.3399963378906,375.260009765625,375.32000732421875,372.3740234375,864300
2020-01-23,375.79998779296875,381.6400146484375,374.760009765625,381.5,378.5055236816406,1099400
2020-01-24,383.0199890136719,384.17999267578125,380.20001220703125,381.6400146484375,378.6444396972656,738000
2020-01-27,378.3599853515625,380.989990234375,375.7799987792969,379.07000732421875,376.0946044921875,665200
2020-01-28,380.5,383.9800109863281,374.2200012207031,381.8399963378906,378.84283447265625,674500
2020-01-29,384.4800109863281,384.4800109863281,378.1400146484375,382.6499938964844,379.646484375,639600
2020-01-30,373.1000061035156,385.010009765625,369.17999267578125,384.8699951171875,381.84906005859375,1397400
2020-01-31,383.3299865722656,384.3299865722656,372.0799865722656,374.57000732421875,371.6299133300781,1086400
2020-02-03,367.3299865722656,370.0,362.760009765625,363.75,360.89483642578125,1316200
2020-02-04,366.6300048828125,367.8999938964844,360.0,361.80999755859375,358.9700622558594,1054400
2020-02-05,362.5799865722656,368.8900146484375,358.79998779296875,367.79998779296875,364.9130554199219,815200
2020-02-06,366.7200012207031,366.7200012207031,362.5,363.75,360.89483642578125,860000
2020-02-07,363.3800048828125,366.1700134277344,361.1199951171875,361.4200134277344,358.5831298828125,790300
2020-02-10,361.04998779296875,364.0299987792969,357.6199951171875,363.2900085449219,360.4384765625,716400
2020-02-11,364.55999755859375,371.9800109863281,363.80999755859375,368.0400085449219,365.15118408203125,697600
2020-02-12,367.6099853515625,369.2300109863281,363.9800109863281,367.7300109863281,364.8436279296875,935400
2020-02-13,366.70001220703125,370.4700012207031,365.0400085449219,368.0,365.1114807128906,848600
2020-02-14,368.82000732421875,371.6400146484375,367.010009765625,370.94000244140625,368.0284118652344,635100
2020-02-18,367.70001220703125,372.6400146484375,365.75,372.4200134277344,369.4967956542969,810900
2020-02-19,373.2200012207031,374.3900146484375,365.9599914550781,366.1499938964844,363.2760009765625,864600
2020-02-20,365.2799987792969,367.6199951171875,360.5299987792969,363.25,360.3987731933594,995200
2020-02-21,360.6600036621094,365.92999267578125,358.0299987792969,365.010009765625,363.46575927734375,880000
2020-02-24,357.989990234375,365.8500061035156,357.7200012207031,359.3900146484375,357.8695373535156,997500
2020-02-25,361.07000732421875,361.44000244140625,338.7799987792969,339.9700012207031,338.53167724609375,1458800
2020-02-26,342.5,347.1499938964844,334.30999755859375,334.32000732421875,332.90557861328125,934400
2020-02-27,329.489990234375,337.7900085449219,325.0,331.57000732421875,330.167236328125,2054500
2020-02-28,320.0,329.82000732421875,313.9800109863281,328.8399963378906,327.4487609863281,2921200
2020-03-02,330.4599914550781,336.92999267578125,321.8599853515625,335.989990234375,334.5685119628906,1547000
2020-03-03,335.989990234375,347.8999938964844,329.010009765625,329.3800048828125,327.9864807128906,1207900
2020-03-04,335.57000732421875,347.989990234375,330.5199890136719,346.9700012207031,345.5020751953125,1193700
2020-03-05,339.4800109863281,342.0299987792969,325.8599853515625,327.7799987792969,326.39324951171875,1214100
2020-03-06,319.32000732421875,331.8999938964844,315.8399963378906,328.9599914550781,327.5682373046875,1361200
2020-03-09,306.94000244140625,320.739990234375,280.0,313.2799987792969,311.95458984375,1355400
2020-03-10,324.69000244140625,335.1400146484375,321.6300048828125,334.8900146484375,333.4731750488281,1826700
2020-03-11,325.45001220703125,330.3599853515625,311.8699951171875,317.8500061035156,316.5052795410156,1484400
2020-03-12,296.989990234375,308.9599914550781,289.260009765625,290.5,289.2709655761719,2525900
2020-03-13,303.6600036621094,315.6499938964844,289.5899963378906,314.5,313.16943359375,2307500
2020-03-16,274.5899963378906,300.44000244140625,274.5899963378906,282.5899963378906,281.3944396972656,1520200
2020-03-17,288.3599853515625,319.8900146484375,287.5799865722656,319.3299865722656,317.9789733886719,2113200
2020-03-18,301.010009765625,325.8500061035156,298.6099853515625,323.0,321.63348388671875,1779400
2020-03-19,321.1499938964844,322.989990234375,289.510009765625,296.9100036621094,295.65386962890625,1711600
2020-03-20,300.94000244140625,301.1700134277344,274.7699890136719,284.0199890136719,282.8183898925781,1768500
2020-03-23,280.8500061035156,283.25,263.30999755859375,269.8599853515625,268.7182922363281,1497400
2020-03-24,280.25,284.0,272.6300048828125,281.2799987792969,280.0899658203125,1655100
2020-03-25,281.7900085449219,301.9800109863281,279.0,288.3599853515625,287.1400146484375,1615600
2020-03-26,290.6300048828125,321.9200134277344,290.6300048828125,321.19000244140625,319.8311462402344,1425500
2020-03-27,311.8900146484375,318.7699890136719,301.6000061035156,312.1499938964844,310.8293762207031,1504800
2020-03-30,317.4100036621094,322.9200134277344,308.8599853515625,313.7200012207031,312.3927307128906,1261700
2020-03-31,309.1700134277344,311.0,300.3800048828125,302.54998779296875,301.2699890136719,1980200
2020-04-01,293.8500061035156,309.989990234375,290.6199951171875,306.989990234375,305.6911926269531,1226500
2020-04-02,301.8999938964844,314.7300109863281,301.69000244140625,314.2900085449219,312.9603271484375,1061900
2020-04-03,313.8999938964844,315.54998779296875,310.30999755859375,313.6099853515625,312.2831726074219,834900
2020-04-06,320.0,335.2699890136719,319.5,332.3299865722656,330.9239807128906,1047600
2020-04-07,342.7099914550781,343.30999755859375,324.9599914550781,325.5199890136719,324.1427917480469,1098500
2020-04-08,330.30999755859375,336.6300048828125,327.0799865722656,329.6700134277344,328.2752685546875,919000
2020-04-09,334.6099853515625,339.1199951171875,330.6499938964844,336.6499938964844,335.2257080078125,1115800
2020-04-13,336.7099914550781,341.5400085449219,334.1400146484375,338.8500061035156,337.4164123535156,639000
2020-04-14,344.7099914550781,352.0,342.0,348.7900085449219,347.3143615722656,639100
2020-04-15,346.0199890136719,346.1099853515625,336.510009765625,344.2900085449219,342.8334045410156,712300
2020-04-16,343.5899963378906,348.3500061035156,342.32000732421875,346.239990234375,344.775146484375,879700
2020-04-17,353.6099853515625,357.1199951171875,347.0,356.29998779296875,354.7925720214844,1236800
2020-04-20,353.6600036621094,354.3800048828125,343.510009765625,343.9100036621094,342.45501708984375,695700
2020-04-21,340.95001220703125,346.5899963378906,332.2900085449219,333.67999267578125,332.2682800292969,813200
2020-04-22,339.1700134277344,343.54998779296875,334.9700012207031,342.010009765625,340.56304931640625,676200
2020-04-23,341.9700012207031,344.0,335.6000061035156,335.8299865722656,334.4091796875,1104400
2020-04-24,338.0,340.8399963378906,332.0,339.30999755859375,337.8744812011719,560400
2020-04-27,341.9599914550781,346.7799987792969,340.5,344.80999755859375,343.3511962890625,764500
2020-04-28,349.2699890136719,351.4200134277344,342.6400146484375,344.5299987792969,343.0723876953125,696100
2020-04-29,332.54998779296875,347.1600036621094,321.1300048828125,331.8299865722656,330.42608642578125,2044500
2020-04-30,327.55999755859375,331.9100036621094,322.9800109863281,330.6700134277344,329.2710266113281,1137400
2020-05-01,326.9599914550781,330.25,324.2699890136719,328.05999755859375,326.67205810546875,849700
